epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.209,1.01607,3.09469,1.3679,0.36236,0.40332,0.27499,0.19821,0.95165,2.59056,1.32684,0.000195669,0.000195669,0.000195669
2,205.089,0.96329,2.32617,1.28219,0.43727,0.47228,0.38352,0.27801,0.94795,2.07039,1.30126,0.000383914,0.000383914,0.000383914
3,298.255,0.9704,2.08689,1.26672,0.57265,0.45663,0.44121,0.32028,0.939,1.91875,1.29105,0.000564398,0.000564398,0.000564398
4,392.725,0.95138,1.92619,1.25125,0.54424,0.52308,0.47687,0.35935,0.89874,1.67673,1.25175,0.000553073,0.000553073,0.000553073
5,488.147,0.92836,1.7946,1.23601,0.58965,0.48859,0.50595,0.37612,0.90312,1.55777,1.25999,0.00054143,0.00054143,0.00054143
6,583.488,0.90181,1.69633,1.21034,0.59209,0.4847,0.54256,0.41472,0.84257,1.35204,1.19753,0.000529788,0.000529788,0.000529788
7,678.842,0.88985,1.60167,1.19796,0.68251,0.49389,0.60825,0.46957,0.84479,1.35252,1.18139,0.000518146,0.000518146,0.000518146
8,773.672,0.86726,1.56355,1.18585,0.63523,0.54981,0.60944,0.46954,0.82964,1.24342,1.19033,0.000506503,0.000506503,0.000506503
9,868.659,0.85742,1.50329,1.17869,0.68755,0.53115,0.61314,0.48131,0.82096,1.20293,1.16921,0.000494861,0.000494861,0.000494861
10,964.089,0.84663,1.46039,1.17067,0.70613,0.56016,0.60409,0.47762,0.80915,1.22583,1.16826,0.000483218,0.000483218,0.000483218
11,1059.23,0.82557,1.40748,1.15643,0.58722,0.63984,0.62766,0.49238,0.7767,1.10212,1.14911,0.000471576,0.000471576,0.000471576
12,1152.3,0.81542,1.36912,1.14893,0.69059,0.60092,0.66282,0.53023,0.7597,1.10308,1.13159,0.000459934,0.000459934,0.000459934
13,1245.38,0.80821,1.3401,1.14798,0.75829,0.59686,0.67641,0.54411,0.76018,1.05819,1.12468,0.000448291,0.000448291,0.000448291
14,1338.37,0.7961,1.29035,1.13826,0.75412,0.58114,0.66195,0.53113,0.75255,1.03254,1.11039,0.000436649,0.000436649,0.000436649
15,1429.36,0.77715,1.25115,1.12133,0.72716,0.64766,0.67902,0.54939,0.7512,0.97726,1.12145,0.000425006,0.000425006,0.000425006
16,1524.5,0.77053,1.23285,1.11515,0.71291,0.69871,0.72681,0.5834,0.73621,0.93545,1.10736,0.000413364,0.000413364,0.000413364
